Coil_ID, X [m], Y [m], Z [m]
1, 3.657885, 0.543339, 1.342941
1, 3.651929, 0.526920, 1.345964
1, 3.646138, 0.510460, 1.349037
1, 3.640512, 0.493963, 1.352159
1, 3.635053, 0.477430, 1.355332
1, 3.629759, 0.460864, 1.358555
1, 3.624630, 0.444266, 1.361831
1, 3.619668, 0.427638, 1.365160
1, 3.614871, 0.410984, 1.368542
1, 3.610239, 0.394303, 1.371978
1, 3.605774, 0.377599, 1.375469
1, 3.601473, 0.360874, 1.379015
1, 3.597338, 0.344130, 1.382618
1, 3.593368, 0.327368, 1.386277
1, 3.589563, 0.310592, 1.389994
1, 3.585923, 0.293802, 1.393769
1, 3.582447, 0.277001, 1.397602
1, 3.579136, 0.260191, 1.401495
1, 3.575988, 0.243375, 1.405448
1, 3.573004, 0.226553, 1.409461
1, 3.570183, 0.209728, 1.413536
1, 3.567525, 0.192903, 1.417672
1, 3.565030, 0.176079, 1.421870
1, 3.562697, 0.159257, 1.426131
1, 3.560526, 0.142441, 1.430456
1, 3.558516, 0.125633, 1.434845
1, 3.556667, 0.108833, 1.439298
1, 3.554978, 0.092045, 1.443816
1, 3.553449, 0.075270, 1.448399
1, 3.552079, 0.058510, 1.453049
1, 3.550868, 0.041768, 1.457765
1, 3.549814, 0.025045, 1.462548
1, 3.548919, 0.008343, 1.467399
1, 3.548180, -0.008336, 1.472317
1, 3.547597, -0.024990, 1.477303
1, 3.547170, -0.041617, 1.482359
1, 3.546898, -0.058215, 1.487483
1, 3.546780, -0.074782, 1.492677
1, 3.546815, -0.091316, 1.497941
1, 3.547002, -0.107815, 1.503276
1, 3.547342, -0.124278, 1.508681
1, 3.547832, -0.140702, 1.514157
1, 3.548473, -0.157086, 1.519705
1, 3.549263, -0.173427, 1.525324
1, 3.550201, -0.189724, 1.531015
1, 3.551287, -0.205975, 1.536779
1, 3.552519, -0.222178, 1.542616
1, 3.553898, -0.238332, 1.548525
1, 3.555421, -0.254433, 1.554508
1, 3.557088, -0.270482, 1.560564
1, 3.558897, -0.286475, 1.566694
1, 3.560849, -0.302411, 1.572898
1, 3.562942, -0.318289, 1.579176
1, 3.565174, -0.334106, 1.585529
1, 3.567545, -0.349860, 1.591956
1, 3.570054, -0.365551, 1.598458
1, 3.572699, -0.381176, 1.605035
1, 3.575480, -0.396733, 1.611687
1, 3.578395, -0.412222, 1.618415
1, 3.581443, -0.427639, 1.625218
1, 3.584623, -0.442984, 1.632096
1, 3.587935, -0.458255, 1.639050
1, 3.591376, -0.473450, 1.646080
1, 3.594946, -0.488568, 1.653186
1, 3.598642, -0.503606, 1.660368
1, 3.602465, -0.518564, 1.667626
1, 3.606413, -0.533440, 1.674959
1, 3.610485, -0.548232, 1.682369
1, 3.614678, -0.562939, 1.689855
1, 3.618993, -0.577558, 1.697417
1, 3.623427, -0.592090, 1.705056
1, 3.627980, -0.606531, 1.712770
1, 3.632650, -0.620881, 1.720560
1, 3.637436, -0.635138, 1.728427
1, 3.642336, -0.649301, 1.736369
1, 3.647349, -0.663368, 1.744387
1, 3.652474, -0.677338, 1.752481
1, 3.657709, -0.691210, 1.760651
1, 3.663053, -0.704981, 1.768896
1, 3.668504, -0.718651, 1.777217
1, 3.674062, -0.732218, 1.785614
1, 3.679724, -0.745682, 1.794085
1, 3.685489, -0.759040, 1.802632
1, 3.691356, -0.772292, 1.811254
1, 3.697323, -0.785435, 1.819950
1, 3.703390, -0.798470, 1.828721
1, 3.709553, -0.811394, 1.837566
1, 3.715812, -0.824206, 1.846486
1, 3.722166, -0.836906, 1.855479
1, 3.728613, -0.849491, 1.864546
1, 3.735151, -0.861961, 1.873687
1, 3.741778, -0.874316, 1.882901
1, 3.748495, -0.886552, 1.892187
1, 3.755298, -0.898670, 1.901546
1, 3.762186, -0.910668, 1.910978
1, 3.769158, -0.922546, 1.920482
1, 3.776212, -0.934302, 1.930057
1, 3.783346, -0.945935, 1.939704
1, 3.790560, -0.957444, 1.949422
1, 3.797852, -0.968828, 1.959210
1, 3.805219, -0.980086, 1.969069
1, 3.812660, -0.991218, 1.978998
1, 3.820175, -1.002222, 1.988996
1, 3.827760, -1.013097, 1.999064
1, 3.835416, -1.023843, 2.009200
1, 3.843139, -1.034458, 2.019405
1, 3.850929, -1.044942, 2.029677
1, 3.858783, -1.055294, 2.040017
1, 3.866701, -1.065513, 2.050424
1, 3.874680, -1.075598, 2.060898
1, 3.882720, -1.085548, 2.071438
1, 3.890818, -1.095364, 2.082044
1, 3.898973, -1.105043, 2.092714
1, 3.907183, -1.114586, 2.103449
1, 3.915447, -1.123991, 2.114249
1, 3.923763, -1.133258, 2.125112
1, 3.932129, -1.142386, 2.136038
1, 3.940544, -1.151375, 2.147027
1, 3.949006, -1.160223, 2.158078
1, 3.957514, -1.168932, 2.169190
1, 3.966066, -1.177498, 2.180363
1, 3.974661, -1.185923, 2.191597
1, 3.983296, -1.194206, 2.202890
1, 3.991971, -1.202346, 2.214243
1, 4.000683, -1.210342, 2.225654
1, 4.009431, -1.218195, 2.237123
1, 4.018213, -1.225903, 2.248650
1, 4.027029, -1.233466, 2.260233
1, 4.035876, -1.240885, 2.271872
1, 4.044752, -1.248157, 2.283567
1, 4.053656, -1.255284, 2.295317
1, 4.062587, -1.262264, 2.307120
1, 4.071543, -1.269097, 2.318978
1, 4.080522, -1.275784, 2.330888
1, 4.089523, -1.282323, 2.342850
1, 4.098545, -1.288715, 2.354864
1, 4.107584, -1.294958, 2.366929
1, 4.116641, -1.301053, 2.379044
1, 4.125714, -1.307000, 2.391208
1, 4.134801, -1.312799, 2.403421
1, 4.143900, -1.318448, 2.415682
1, 4.153010, -1.323949, 2.427990
1, 4.162130, -1.329300, 2.440345
1, 4.171257, -1.334502, 2.452745
1, 4.180391, -1.339554, 2.465191
1, 4.189530, -1.344457, 2.477681
1, 4.198672, -1.349211, 2.490214
1, 4.207816, -1.353814, 2.502791
1, 4.216960, -1.358268, 2.515409
1, 4.226104, -1.362572, 2.528069
1, 4.235245, -1.366726, 2.540769
1, 4.244382, -1.370731, 2.553509
1, 4.253513, -1.374585, 2.566288
1, 4.262638, -1.378290, 2.579105
1, 4.271754, -1.381845, 2.591960
1, 4.280860, -1.385250, 2.604851
